return_id,order_id,return_date,return_reason,return_status,refund_amount,reverse_shipping_cost,restocking_loss
700076,900382,2024-09-26,Size/Fit Issue,Approved,1770.0,141.54,287.62
700077,900385,2024-08-03,Defective/Damaged,Approved,9950.0,116.13,2139.25
700078,900390,2025-03-24,Wrong Item Delivered,Approved,2450.0,106.84,441.0
700079,900393,2024-04-19,Size/Fit Issue,Approved,7800.0,150.95,663.0
700080,900398,2024-09-04,Defective/Damaged,Approved,910.0,91.11,141.05
700081,900406,2024-11-13,Defective/Damaged,Approved,540.0,150.15,78.3
700082,900410,2024-09-05,Changed Mind,Approved,3370.0,147.73,572.9
700083,900411,2024-08-31,Size/Fit Issue,Approved,1960.0,93.24,318.5
700084,900412,2024-07-10,Size/Fit Issue,Approved,2150.0,117.94,349.38
700085,900417,2024-05-10,Changed Mind,Approved,910.0,123.33,141.05
700086,900418,2024-09-21,Changed Mind,Approved,1190.0,164.39,193.38
700087,900420,2025-02-20,Size/Fit Issue,Approved,2380.0,177.48,193.38
700088,900424,2024-11-21,Defective/Damaged,Rejected,0.0,110.41,0.0
700089,900428,2024-07-23,Changed Mind,Approved,1130.0,84.04,175.15
700090,900430,2024-04-26,Not as Described,Approved,3150.0,105.26,567.0
700091,900435,2025-01-08,Defective/Damaged,Approved,10800.0,65.95,2322.0
700092,900441,2025-04-10,Size/Fit Issue,Approved,2600.0,136.38,442.0
700093,900449,2024-09-21,Not as Described,Approved,6340.0,132.35,570.6
700094,900454,2025-02-03,Changed Mind,Approved,9950.0,142.53,2139.25
700095,900460,2024-08-29,Not as Described,Approved,1960.0,145.82,318.5
700096,900461,2024-12-12,Better Price Found,Approved,13790.0,123.23,2964.85
700097,900466,2024-04-22,Size/Fit Issue,Approved,3000.0,122.75,510.0
700098,900476,2025-02-14,Not as Described,Approved,5120.0,62.04,435.2
700099,900479,2024-09-15,Changed Mind,Rejected,0.0,106.82,0.0
700100,900482,2024-12-22,Not as Described,Approved,6750.0,174.01,405.0
700101,900492,2024-06-06,Defective/Damaged,Approved,780.0,144.2,113.1
700102,900501,2024-10-25,Not as Described,Approved,3740.0,160.45,635.8
700103,900502,2024-09-24,Size/Fit Issue,Approved,970.0,92.75,157.62
700104,900505,2024-05-05,Size/Fit Issue,Approved,3700.0,147.04,629.0
700105,900513,2024-06-27,Defective/Damaged,Approved,1510.0,151.62,245.38
700106,900514,2024-09-17,Changed Mind,Approved,1510.0,178.0,245.38
700107,900515,2024-12-07,Size/Fit Issue,Approved,3370.0,138.4,572.9
700108,900516,2024-07-23,Defective/Damaged,Approved,2250.0,142.17,405.0
700109,900520,2025-03-09,Not as Described,Approved,9950.0,163.68,2139.25
700110,900523,2025-03-15,Not as Described,Approved,13140.0,168.82,2825.1
700111,900525,2025-01-18,Defective/Damaged,Approved,1990.0,106.88,358.2
700112,900534,2024-05-12,Defective/Damaged,Approved,1870.0,119.0,303.88
700113,900549,2024-06-28,Defective/Damaged,Approved,12780.0,64.95,2747.7
700114,900564,2024-09-25,Not as Described,Approved,510.0,119.57,73.95
700115,900568,2024-07-06,Changed Mind,Approved,5200.0,156.46,442.0
700116,900575,2025-04-13,Size/Fit Issue,Rejected,0.0,141.55,0.0
700117,900583,2024-05-19,Not as Described,Approved,1990.0,116.35,358.2
700118,900590,2024-05-08,Not as Described,Approved,2250.0,157.52,405.0
700119,900592,2025-01-03,Better Price Found,Approved,38430.0,85.73,2754.15
700120,900593,2024-11-26,Defective/Damaged,Approved,13790.0,123.17,2964.85
700121,900602,2024-10-06,Defective/Damaged,Approved,12810.0,104.83,2754.15
700122,900603,2024-06-12,Size/Fit Issue,Approved,970.0,151.39,157.62
700123,900616,2024-09-07,Wrong Item Delivered,Approved,2550.0,82.7,459.0
700124,900618,2024-08-22,Size/Fit Issue,Approved,3740.0,117.79,635.8
700125,900635,2025-02-12,Size/Fit Issue,Approved,1190.0,134.2,193.38
700126,900638,2024-07-01,Not as Described,Approved,7480.0,159.69,635.8
700127,900640,2025-03-24,Wrong Item Delivered,Approved,1390.0,99.66,215.45
700128,900641,2025-02-11,Size/Fit Issue,Approved,7400.0,156.55,629.0
700129,900642,2025-04-08,Size/Fit Issue,Rejected,0.0,145.77,0.0
700130,900650,2025-04-07,Size/Fit Issue,Approved,3370.0,63.54,572.9
700131,900668,2024-05-11,Size/Fit Issue,Approved,2150.0,148.4,349.38
700132,900673,2024-09-11,Size/Fit Issue,Approved,2560.0,129.24,435.2
700133,900677,2024-10-25,Size/Fit Issue,Approved,4530.0,173.82,245.38
700134,900681,2024-07-13,Defective/Damaged,Approved,1740.0,178.17,313.2
700135,900682,2024-06-06,Size/Fit Issue,Approved,3700.0,138.43,629.0
700136,900694,2024-10-14,Size/Fit Issue,Approved,2370.0,83.6,402.9
700137,900703,2024-08-04,Defective/Damaged,Approved,740.0,95.23,107.3
700138,900705,2024-10-05,Changed Mind,Approved,2580.0,171.86,199.95
700139,900708,2024-10-19,Not as Described,Approved,2250.0,127.66,405.0
700140,900719,2024-08-14,Changed Mind,Approved,510.0,71.6,73.95
700141,900720,2025-04-06,Defective/Damaged,Approved,19900.0,72.97,2139.25
700142,900724,2024-04-12,Size/Fit Issue,Approved,3000.0,111.61,510.0
700143,900732,2024-06-04,Not as Described,Approved,740.0,169.42,107.3
700144,900735,2024-09-27,Size/Fit Issue,Approved,2150.0,85.01,349.38
700145,900748,2024-11-16,Defective/Damaged,Rejected,0.0,165.39,0.0
700146,900749,2024-07-20,Not as Described,Approved,2250.0,142.43,405.0
700147,900750,2024-08-29,Not as Described,Approved,3000.0,153.64,510.0
700148,900751,2024-11-24,Defective/Damaged,Rejected,0.0,91.37,0.0
700149,900752,2024-06-19,Defective/Damaged,Approved,2580.0,157.71,199.95
700150,900754,2025-03-31,Wrong Item Delivered,Approved,1390.0,96.3,215.45
700151,900762,2025-01-07,Changed Mind,Rejected,0.0,82.25,0.0
700152,900768,2024-07-11,Not as Described,Approved,1960.0,163.81,318.5
700153,900770,2025-01-20,Changed Mind,Approved,810.0,133.25,125.55
700154,900777,2024-07-13,Not as Described,Approved,1320.0,66.56,204.6
700155,900779,2025-01-31,Defective/Damaged,Approved,1620.0,106.43,117.45
700156,900802,2024-05-07,Size/Fit Issue,Approved,2150.0,178.69,349.38
700157,900805,2024-07-05,Size/Fit Issue,Approved,2600.0,131.66,442.0
700158,900808,2024-05-31,Defective/Damaged,Approved,1320.0,114.29,204.6
700159,900812,2024-04-22,Not as Described,Approved,1320.0,151.08,204.6
700160,900821,2024-12-31,Changed Mind,Rejected,0.0,142.24,0.0
700161,900827,2024-07-21,Changed Mind,Approved,1560.0,153.13,241.8
700162,900837,2024-10-29,Size/Fit Issue,Approved,1510.0,72.79,245.38
700163,900849,2024-08-24,Defective/Damaged,Approved,3740.0,117.93,303.88
700164,900854,2024-06-20,Better Price Found,Rejected,0.0,127.22,0.0
700165,900855,2025-02-27,Size/Fit Issue,Approved,3900.0,108.12,663.0
700166,900860,2025-02-22,Changed Mind,Rejected,0.0,176.67,0.0
700167,900863,2024-09-17,Size/Fit Issue,Approved,1510.0,90.37,245.38
700168,900870,2024-08-26,Size/Fit Issue,Approved,3740.0,74.93,635.8
700169,900871,2024-05-11,Better Price Found,Approved,11450.0,97.53,2461.75
700170,900873,2024-11-09,Defective/Damaged,Approved,1770.0,98.56,287.62
700171,900884,2024-11-01,Size/Fit Issue,Approved,3000.0,112.49,510.0
700172,900894,2025-01-03,Not as Described,Rejected,0.0,112.09,0.0
700173,900895,2024-07-13,Changed Mind,Approved,820.0,93.22,59.45
700174,900904,2024-07-20,Changed Mind,Approved,4300.0,84.68,349.38
700175,900909,2024-08-20,Not as Described,Approved,2560.0,107.71,435.2
700176,900913,2024-12-21,Size/Fit Issue,Approved,1190.0,125.55,193.38
700177,900918,2024-04-21,Changed Mind,Approved,7800.0,168.45,663.0
700178,900927,2025-01-24,Not as Described,Approved,410.0,77.08,59.45
700179,900934,2024-04-11,Changed Mind,Approved,2250.0,104.97,405.0
700180,900944,2025-01-12,Not as Described,Approved,2450.0,135.92,441.0
700181,900959,2024-04-21,Size/Fit Issue,Approved,3370.0,154.12,572.9
700182,900966,2024-05-29,Not as Described,Approved,1770.0,79.85,287.62
700183,900981,2024-04-29,Changed Mind,Approved,3900.0,104.24,663.0
700184,900986,2025-01-31,Changed Mind,Approved,3740.0,165.49,635.8
700185,900990,2025-04-02,Not as Described,Rejected,0.0,130.29,0.0
700186,900991,2024-11-20,Changed Mind,Approved,13330.0,166.32,2865.95
700187,901004,2024-11-07,Not as Described,Approved,810.0,174.99,117.45
700188,901012,2024-11-26,Changed Mind,Approved,13330.0,171.62,2865.95
700189,901015,2024-09-01,Changed Mind,Approved,2550.0,150.07,459.0
700190,901017,2025-02-09,Defective/Damaged,Approved,810.0,145.54,117.45
700191,901025,2025-03-10,Size/Fit Issue,Approved,3740.0,164.37,635.8
700192,901027,2024-08-07,Not as Described,Approved,410.0,120.91,59.45
700193,901028,2025-01-06,Not as Described,Rejected,0.0,97.07,0.0
700194,901035,2024-12-26,Wrong Item Delivered,Approved,910.0,170.63,141.05
700195,901039,2025-02-04,Not as Described,Approved,810.0,87.51,117.45
700196,901040,2025-01-22,Wrong Item Delivered,Approved,1560.0,174.27,241.8
700197,901054,2024-10-28,Size/Fit Issue,Approved,1110.0,148.53,180.38
700198,901056,2024-06-23,Not as Described,Approved,1020.0,66.78,73.95
700199,901062,2024-06-02,Better Price Found,Approved,22900.0,77.73,2461.75
700200,901065,2024-08-09,Defective/Damaged,Approved,25620.0,165.87,2754.15
700201,901069,2025-02-16,Size/Fit Issue,Approved,3900.0,115.34,663.0
700202,901072,2025-03-31,Size/Fit Issue,Approved,3740.0,63.22,635.8
700203,901087,2024-05-18,Defective/Damaged,Approved,3980.0,89.24,358.2
700204,901089,2024-09-10,Size/Fit Issue,Approved,3020.0,120.27,245.38
700205,901092,2025-03-13,Size/Fit Issue,Approved,7800.0,116.47,663.0
700206,901094,2024-04-18,Size/Fit Issue,Approved,3740.0,157.24,635.8
700207,901102,2024-10-20,Size/Fit Issue,Rejected,0.0,120.8,0.0
700208,901110,2024-10-19,Size/Fit Issue,Approved,3370.0,63.59,572.9
700209,901115,2024-09-16,Changed Mind,Approved,5200.0,136.04,442.0
700210,901116,2024-10-11,Size/Fit Issue,Approved,2600.0,110.96,442.0
700211,901129,2024-09-30,Changed Mind,Approved,2220.0,63.96,107.3
700212,901136,2024-06-01,Wrong Item Delivered,Approved,3170.0,157.41,570.6
700213,901145,2024-06-30,Defective/Damaged,Approved,1390.0,154.97,215.45
700214,901148,2024-05-30,Defective/Damaged,Approved,2250.0,137.44,405.0
700215,901164,2024-04-27,Wrong Item Delivered,Approved,1080.0,141.02,194.4
700216,901166,2024-10-29,Not as Described,Approved,11450.0,118.46,2461.75
700217,901167,2024-09-21,Changed Mind,Approved,510.0,125.04,73.95
700218,901183,2024-04-28,Not as Described,Approved,2550.0,165.29,459.0
700219,901188,2024-06-11,Not as Described,Approved,1390.0,173.86,215.45
700220,901190,2024-11-14,Changed Mind,Approved,5120.0,106.55,435.2
700221,901195,2024-12-29,Size/Fit Issue,Rejected,0.0,105.98,0.0
700222,901198,2024-09-23,Not as Described,Approved,2560.0,165.52,435.2
700223,901208,2024-04-25,Size/Fit Issue,Approved,1110.0,96.6,180.38
700224,901209,2025-02-09,Not as Described,Approved,1020.0,151.26,73.95
700225,901211,2024-10-28,Size/Fit Issue,Approved,970.0,130.23,157.62
700226,901219,2025-02-16,Defective/Damaged,Approved,1960.0,157.3,318.5
700227,901226,2024-05-07,Size/Fit Issue,Approved,1190.0,91.86,193.38
700228,901236,2024-06-23,Changed Mind,Rejected,0.0,157.02,0.0
700229,901242,2024-10-22,Changed Mind,Approved,2150.0,150.2,349.38
700230,901244,2024-08-11,Not as Described,Approved,5200.0,134.07,442.0
700231,901248,2025-01-29,Defective/Damaged,Approved,910.0,93.41,141.05
700232,901249,2024-05-15,Not as Described,Approved,3900.0,124.29,663.0
700233,901260,2024-06-16,Size/Fit Issue,Approved,1190.0,144.91,193.38
700234,901261,2025-02-24,Defective/Damaged,Approved,890.0,169.04,137.95
700235,901284,2024-08-04,Size/Fit Issue,Approved,7680.0,108.83,435.2
700236,901285,2024-10-04,Changed Mind,Approved,810.0,62.16,117.45
700237,901292,2024-09-05,Defective/Damaged,Approved,10800.0,85.92,2322.0
700238,901296,2024-10-31,Defective/Damaged,Approved,2250.0,146.94,405.0
700239,901301,2024-05-20,Changed Mind,Approved,1620.0,155.43,117.45
700240,901307,2024-09-07,Not as Described,Approved,1080.0,152.16,194.4
700241,901309,2024-11-18,Defective/Damaged,Approved,1510.0,177.73,245.38
700242,901317,2024-05-07,Size/Fit Issue,Approved,3700.0,121.44,629.0
700243,901321,2025-02-20,Not as Described,Approved,2370.0,171.03,402.9
700244,901329,2024-10-22,Size/Fit Issue,Approved,2150.0,115.99,349.38
700245,901344,2024-11-14,Size/Fit Issue,Approved,3740.0,124.09,635.8
700246,901346,2025-02-09,Defective/Damaged,Approved,5100.0,90.13,459.0
700247,901347,2024-08-20,Not as Described,Rejected,0.0,113.54,0.0
700248,901359,2024-06-12,Better Price Found,Approved,10800.0,169.11,2322.0
700249,901360,2024-09-02,Not as Described,Approved,1390.0,145.83,215.45
700250,901365,2024-05-29,Size/Fit Issue,Rejected,0.0,65.2,0.0
700251,901374,2024-11-23,Changed Mind,Approved,1320.0,137.61,204.6
700252,901385,2024-04-26,Not as Described,Approved,12780.0,131.52,2747.7
700253,901387,2024-11-27,Changed Mind,Rejected,0.0,100.72,0.0
700254,901388,2024-08-24,Defective/Damaged,Approved,10800.0,71.0,2322.0
700255,901392,2024-08-21,Defective/Damaged,Approved,13330.0,112.31,2865.95
700256,901394,2024-08-14,Not as Described,Rejected,0.0,116.04,0.0
700257,901396,2024-12-19,Defective/Damaged,Approved,1560.0,140.75,113.1
700258,901397,2025-02-11,Defective/Damaged,Approved,6300.0,174.05,567.0
700259,901401,2024-10-15,Changed Mind,Approved,1960.0,157.59,318.5
700260,901403,2024-11-11,Defective/Damaged,Approved,11450.0,105.78,2461.75
700261,901412,2024-07-16,Size/Fit Issue,Approved,1870.0,133.14,303.88
700262,901413,2024-08-31,Not as Described,Approved,2250.0,66.95,405.0
700263,901417,2025-02-24,Size/Fit Issue,Approved,1770.0,95.73,287.62
700264,901422,2025-03-06,Not as Described,Approved,3150.0,143.82,567.0
700265,901424,2024-05-01,Changed Mind,Approved,2150.0,88.75,349.38
700266,901426,2025-03-01,Defective/Damaged,Approved,1080.0,78.72,194.4
700267,901428,2024-09-26,Changed Mind,Approved,12780.0,94.02,2747.7
700268,901441,2024-08-11,Not as Described,Approved,4740.0,74.66,402.9
700269,901445,2025-02-01,Size/Fit Issue,Approved,1190.0,97.35,193.38
700270,901459,2024-09-04,Not as Described,Approved,1290.0,163.6,199.95
700271,901470,2024-07-12,Size/Fit Issue,Approved,1190.0,83.73,193.38
700272,901471,2024-12-06,Defective/Damaged,Approved,1740.0,68.75,313.2
700273,901472,2024-12-25,Not as Described,Approved,410.0,115.36,59.45
700274,901474,2024-12-12,Changed Mind,Approved,1130.0,116.14,163.85
700275,901478,2024-06-22,Changed Mind,Approved,1620.0,66.72,117.45
700276,901490,2024-12-01,Defective/Damaged,Approved,6750.0,122.41,405.0
700277,901493,2024-12-17,Defective/Damaged,Approved,3170.0,121.77,570.6
700278,901494,2024-08-14,Size/Fit Issue,Approved,2150.0,138.7,349.38
700279,901498,2024-05-12,Defective/Damaged,Approved,970.0,111.95,157.62
700280,901507,2024-09-05,Size/Fit Issue,Approved,2150.0,105.85,349.38
700281,901509,2024-06-03,Changed Mind,Rejected,0.0,136.16,0.0
700282,901511,2025-02-26,Size/Fit Issue,Approved,4300.0,107.4,349.38
700283,901516,2024-06-14,Size/Fit Issue,Approved,1870.0,145.5,303.88
700284,901523,2025-02-15,Defective/Damaged,Approved,1960.0,172.41,318.5
700285,901526,2025-03-10,Size/Fit Issue,Approved,3540.0,103.8,287.62
700286,901528,2024-11-11,Not as Described,Approved,3900.0,79.22,663.0
700287,901536,2024-12-18,Not as Described,Approved,910.0,77.3,141.05
700288,901538,2024-11-06,Not as Described,Approved,6000.0,130.76,510.0
700289,901541,2025-01-23,Changed Mind,Rejected,0.0,174.1,0.0
700290,901544,2025-03-15,Changed Mind,Approved,25620.0,151.7,2754.15
700291,901557,2024-06-09,Not as Described,Approved,3900.0,113.28,663.0
700292,901569,2024-04-24,Size/Fit Issue,Approved,3900.0,125.74,663.0
700293,901571,2025-02-14,Size/Fit Issue,Approved,3900.0,126.87,663.0
700294,901583,2025-02-01,Defective/Damaged,Approved,1390.0,129.1,215.45
700295,901595,2025-01-28,Changed Mind,Approved,2560.0,155.45,435.2
700296,901597,2024-05-12,Defective/Damaged,Approved,1130.0,70.82,175.15
700297,901599,2024-12-18,Size/Fit Issue,Approved,970.0,96.27,157.62
700298,901601,2024-12-12,Not as Described,Rejected,0.0,154.13,0.0
700299,901606,2024-05-11,Not as Described,Rejected,0.0,147.51,0.0
700300,901608,2025-01-31,Better Price Found,Rejected,0.0,90.82,0.0
700301,901616,2024-10-16,Size/Fit Issue,Approved,3740.0,151.72,635.8
700302,901618,2025-01-15,Defective/Damaged,Approved,780.0,112.99,113.1
700303,901620,2025-01-08,Defective/Damaged,Approved,1530.0,168.71,73.95
700304,901623,2025-03-23,Changed Mind,Approved,1130.0,107.29,163.85
700305,901624,2024-11-08,Defective/Damaged,Approved,1510.0,113.37,245.38
700306,901627,2024-08-14,Size/Fit Issue,Approved,11700.0,155.82,663.0
700307,901631,2025-01-04,Defective/Damaged,Approved,1870.0,85.2,303.88
700308,901649,2024-06-15,Size/Fit Issue,Approved,7480.0,161.02,635.8
700309,901654,2024-06-21,Size/Fit Issue,Approved,7800.0,101.69,663.0
700310,901658,2025-03-14,Not as Described,Approved,1770.0,175.98,287.62
700311,901669,2024-08-10,Changed Mind,Approved,970.0,136.52,157.62
700312,901671,2024-04-21,Defective/Damaged,Approved,13140.0,93.85,2825.1
700313,901673,2024-06-28,Not as Described,Approved,780.0,106.6,113.1
700314,901685,2024-09-09,Defective/Damaged,Approved,780.0,155.22,113.1
700315,901693,2024-04-27,Not as Described,Approved,1770.0,128.56,287.62
700316,901694,2024-04-19,Defective/Damaged,Approved,1770.0,151.45,287.62
700317,901707,2025-01-14,Size/Fit Issue,Approved,3900.0,137.24,663.0
700318,901715,2024-06-10,Not as Described,Approved,2450.0,162.7,441.0
700319,901716,2024-08-09,Defective/Damaged,Approved,13330.0,178.13,2865.95
700320,901723,2024-07-18,Defective/Damaged,Approved,7480.0,111.52,635.8
700321,901731,2025-01-06,Changed Mind,Approved,3740.0,60.45,635.8
700322,901735,2024-05-16,Not as Described,Approved,1560.0,158.14,241.8
700323,901742,2024-11-22,Changed Mind,Approved,9950.0,62.46,2139.25
700324,901743,2024-04-27,Size/Fit Issue,Approved,2370.0,136.64,402.9
700325,901745,2024-08-04,Size/Fit Issue,Approved,3370.0,71.16,572.9
700326,901746,2024-10-08,Defective/Damaged,Approved,1940.0,94.52,157.62
700327,901749,2025-03-21,Defective/Damaged,Rejected,0.0,88.94,0.0
700328,901752,2025-01-15,Not as Described,Approved,2550.0,86.85,459.0
700329,901754,2024-09-18,Not as Described,Approved,2550.0,120.83,459.0
700330,901756,2025-01-27,Defective/Damaged,Approved,1110.0,108.9,180.38
700331,901761,2024-05-04,Changed Mind,Approved,39420.0,83.07,2825.1
700332,901763,2024-04-16,Size/Fit Issue,Approved,3000.0,80.93,510.0
700333,901764,2025-01-29,Changed Mind,Approved,1770.0,85.12,287.62
700334,901766,2025-01-21,Size/Fit Issue,Approved,3000.0,113.27,510.0
700335,901769,2024-04-13,Better Price Found,Approved,12780.0,110.81,2747.7
700336,901771,2024-07-28,Not as Described,Approved,11450.0,142.86,2461.75
700337,901775,2024-10-02,Size/Fit Issue,Approved,4300.0,84.15,349.38
700338,901776,2025-01-30,Defective/Damaged,Rejected,0.0,165.36,0.0
700339,901778,2024-04-15,Size/Fit Issue,Approved,4300.0,137.57,349.38
700340,901779,2024-11-22,Changed Mind,Approved,3740.0,145.66,635.8
700341,901782,2024-04-27,Size/Fit Issue,Approved,1770.0,61.51,287.62
700342,901784,2024-08-02,Size/Fit Issue,Rejected,0.0,66.01,0.0
700343,901790,2025-01-04,Defective/Damaged,Approved,1740.0,87.08,313.2
700344,901793,2024-06-30,Not as Described,Approved,3900.0,110.78,663.0
700345,901794,2024-08-16,Size/Fit Issue,Approved,1190.0,134.41,193.38
700346,901798,2024-04-27,Defective/Damaged,Approved,13330.0,135.41,2865.95
700347,901801,2024-12-13,Not as Described,Approved,1820.0,86.09,141.05
700348,901806,2024-07-11,Wrong Item Delivered,Approved,1990.0,135.01,358.2
700349,901807,2024-12-22,Better Price Found,Rejected,0.0,65.69,0.0
700350,901811,2024-11-08,Not as Described,Approved,2600.0,112.0,442.0
700351,901815,2025-04-01,Size/Fit Issue,Approved,5880.0,126.91,318.5
700352,901818,2024-10-23,Changed Mind,Approved,1190.0,111.36,193.38
700353,901819,2025-01-01,Changed Mind,Approved,1180.0,101.79,85.55
700354,901820,2024-12-04,Size/Fit Issue,Approved,3740.0,82.02,635.8
700355,901823,2024-05-22,Defective/Damaged,Approved,4500.0,152.42,405.0
700356,901827,2024-12-03,Defective/Damaged,Approved,9950.0,82.79,2139.25
700357,901828,2025-01-24,Size/Fit Issue,Approved,2380.0,126.55,193.38
700358,901835,2024-06-16,Not as Described,Approved,810.0,138.98,117.45
700359,901842,2024-04-30,Not as Described,Approved,2450.0,125.69,441.0
700360,901850,2024-05-30,Changed Mind,Approved,12810.0,85.11,2754.15
700361,901860,2025-04-03,Defective/Damaged,Approved,1320.0,172.56,204.6
700362,901862,2025-01-17,Not as Described,Rejected,0.0,94.1,0.0
700363,901864,2024-09-14,Not as Described,Approved,1130.0,110.98,175.15
700364,901868,2024-09-26,Defective/Damaged,Rejected,0.0,68.69,0.0
